X,Y
0.8963355055017113,0.6848794892738534
0.23400490785902783,0.34990178694047314
0.6554002870206742,0.0136610038975572
0.5905088467266942,0.3141135039146662
0.12987698088339739,0.7675971652768832
0.2247515141238261,0.6431789888208207
0.6891935514192197,0.6961188916561559
0.6225070395103827,0.7568527053566034
0.4191400041780068,0.30571949416077415
0.8822314583856662,0.21704745728568442
0.3576382191076072,0.9602642461084069
0.6365110961750484,0.7891953887733386
0.5211751545055988,0.6383434930017297
0.8355047159892988,0.3706529861510435
0.8770142058948418,0.19131882865051886
0.7276325561659419,0.807943264430501
0.8549150741169522,0.5461735653600608
0.18104186793265997,0.42945667564078727
0.2317933404359641,0.8945445051817016
0.32823902294673934,0.08323302065637295
0.24424864860145756,0.33815001114339727
0.7733952875113367,0.1723218820955117
0.9779355592455174,0.5734818473556609
0.9988932435603957,0.01926311987031526
0.23664492199431564,0.6185290383793878
0.3538489958661437,0.4139225722885448
0.8028120790941771,0.7045443897715211
0.30116601503191875,0.9904704161127004
0.04366062387084635,0.4871901911666694
0.9080164919475827,0.33545061688153355
0.5078957979780269,0.2475155348816891
0.5395315451922716,0.11312017777893835
0.5493237840363482,0.06018627293605572
0.9140345530346479,0.700148749152829
0.45625872767943254,0.48711314081848345
0.23420451793308295,0.6046706787565287
0.7634846885840185,0.8747335954273624
0.8387982162665215,0.9492892459386856
0.8413871149688743,0.1605298606644936
0.4641372364309797,0.4242285186082755
0.6245725310100501,0.9263366784935558
0.815567824127278,0.5108656826222041
0.9851995121280084,0.37914816066766965
0.228472187924192,0.8312118904058713
0.7625685807393104,0.7375740205448178
0.7638252918733512,0.20495576961627326
0.09153963407352084,0.4065159800151461
0.7373668632315987,0.464596789769681
0.6753008816013407,0.7707305148990747
0.6652905833213327,0.4535342695851552
